TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-02 18:28:26.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89
2022-11-02 18:28:26.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:28:27.228,0,0.441220523348309,0,0,0,0.001406901705998366,0,0,0,0.09433331541274244,0,0,0,0.1148436092578285,0,0,0,-0.3959448773344276,0,0,880.4029304029305,828.8278388278388,1131.831501831502,438.7912087912088,452.4908424908425,0.177002,0.190491,0.988770,6.287994,-4.762726,-0.672913,1,4,1,2,2,90.000000
2022-11-02 18:28:27.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:28:28.231,0,-0.248578838859223,0,0,0,-0.1005988573823132,0,0,0,0.2654968166628697,0,0,0,0.2203757098271908,0,0,0,0.1163497115412472,0,0,860.2564102564103,803.8461538461539,783.2967032967033,848.1684981684982,833.2600732600733,0.217102,0.230774,0.964539,1.764526,-8.052521,3.342133,1,4,1,2,2,90.000000
2022-11-02 18:28:29.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:28:29.231,0,-0.3706139799763701,0,0,0,-0.06186869783961279,0,0,0,0.1463121639451173,0,0,0,0.0657458306774326,0,0,0,0.0560122826689276,0,0,1020.21978021978,807.0695970695971,578.2051282051282,805.4578754578755,915.4578754578755,0.249390,0.245483,0.929443,1.472931,-3.110352,6.437531,1,4,1,2,2,90.000000
2022-11-02 18:28:29.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:28:30.225,0,0.09377742506293109,0,0,0,-0.1431445008045344,0,0,0,0.2103639702753128,0,0,0,0.08480166922090097,0,0,0,-0.03322183105413483,0,0,514.5421245421246,813.919413919414,527.8388278388279,797.8021978021978,724.4688644688645,0.221130,0.231873,0.974854,3.185120,-4.411316,-1.016846,1,4,1,2,2,90.000000
2022-11-02 18:28:31.228,0,0.4191176565038948,0,1.521923744950201,0,-0.2563450016677442,0,1.495556149396906,0,0.1792802788040413,0,1.568587920662446,0,0.1682305548664901,0,0.9064721837449277,0,-0.07846907749597611,0,0.5848224335826613,612.0512820512821,800.6227106227107,545.1648351648352,804.6520146520147,852.1978021978023,0.210388,0.223633,0.998108,2.878571,-5.921631,-2.100983,1,4,1,2,1,90.000000
2022-11-02 18:28:32.229,0,0.2684909906350052,0,1.165176984446282,0,-0.4347419311465718,0,0.7908162564053448,0,0.1520365863562901,0,1.469687318951743,0,0.02511836512545319,0,0.936167013403798,0,-0.3337681137819523,0,0.4341771189492341,267.5457875457876,802.6373626373627,601.1721611721612,843.7362637362637,792.1611721611722,0.240662,0.222839,0.989258,5.069275,0.485992,-2.190704,1,4,1,2,1,90.000000
